country,region,year,planeDeaths
"Macedonia, FYR",Europe,1972,0
Madagascar,Africa,1972,0
Malaysia,Asia,1972,0
Maldives,Asia,1972,0
Mali,Africa,1972,0
Mauritania,Africa,1972,0
Mauritius,Africa,1972,0
Mexico,Americas,1972,0
Mongolia,Asia,1972,0
Morocco,Africa,1972,0
Mozambique,Africa,1972,0
Myanmar,Asia,1972,0
Nepal,Asia,1972,0
Netherlands,Europe,1972,0
New Zealand,Asia,1972,0
Nicaragua,Americas,1972,0
Niger,Africa,1972,0
Nigeria,Africa,1972,0
North Korea,Asia,1972,0
Norway,Europe,1972,0
Pakistan,Asia,1972,0
Panama,Americas,1972,0
Papua New Guinea,Asia,1972,0
Paraguay,Americas,1972,0
Peru,Americas,1972,0
Philippines,Asia,1972,0
Poland,Europe,1972,0
Portugal,Europe,1972,0
Romania,Europe,1972,0
Russia,Europe,1972,0
Saudi Arabia,Asia,1972,0
Senegal,Africa,1972,0
Sierra Leone,Africa,1972,0
Somalia,Africa,1972,0
South Africa,Africa,1972,0
South Korea,Asia,1972,0
Spain,Europe,1972,0
Sri Lanka,Asia,1972,0
Sudan,Africa,1972,0
Suriname,Americas,1972,0
Sweden,Europe,1972,0
Switzerland,Europe,1972,0
Tajikistan,Asia,1972,0
Tanzania,Africa,1972,0
Thailand,Asia,1972,0
Tunisia,Africa,1972,0
Turkey,Europe,1972,0
Ukraine,Europe,1972,0
United Arab Emirates,Asia,1972,0
United Kingdom,Europe,1972,118
United States,Americas,1972,0
Uruguay,Americas,1972,0
Uzbekistan,Asia,1972,0
Venezuela,Americas,1972,0
Vietnam,Asia,1972,0
Yemen,Asia,1972,0
Zambia,Africa,1972,0
Afghanistan,Asia,1973,0
Algeria,Africa,1973,0
Angola,Africa,1973,0
Argentina,Americas,1973,0
Armenia,Europe,1973,0
Australia,Asia,1973,0
Austria,Europe,1973,0
Azerbaijan,Europe,1973,0
Bahrain,Asia,1973,0
Belgium,Europe,1973,0
Benin,Africa,1973,0
Bolivia,Americas,1973,0
Bosnia and Herzegovina,Europe,1973,0
Brazil,Americas,1973,0
Bulgaria,Europe,1973,0
Cambodia,Asia,1973,0
Cameroon,Africa,1973,0
Canada,Americas,1973,0
Cape Verde,Africa,1973,0
Central African Republic,Africa,1973,0
Chile,Americas,1973,0
China,Asia,1973,0
Colombia,Americas,1973,0
Comoros,Africa,1973,0
"Congo, Dem. Rep.",Africa,1973,0
"Congo, Rep.",Africa,1973,0
Costa Rica,Americas,1973,0
Cote d'Ivoire,Africa,1973,0
Croatia,Europe,1973,0
Cuba,Americas,1973,0
Denmark,Europe,1973,0
Dominica,Americas,1973,0
Dominican Republic,Americas,1973,0
Ecuador,Americas,1973,0
Egypt,Africa,1973,0
El Salvador,Americas,1973,0
Equatorial Guinea,Africa,1973,0
Ethiopia,Africa,1973,0
Fiji,Asia,1973,0
France,Europe,1973,191
Gabon,Africa,1973,0
Georgia,Europe,1973,0
Germany,Europe,1973,0
Greece,Europe,1973,0
Guatemala,Americas,1973,0
Haiti,Americas,1973,0
Honduras,Americas,1973,0
Hungary,Europe,1973,0
India,Asia,1973,0
Indonesia,Asia,1973,0
Iran,Asia,1973,0
Iraq,Asia,1973,0
Ireland,Europe,1973,0
Israel,Asia,1973,0
Italy,Europe,1973,0
Japan,Asia,1973,0
Jordan,Asia,1973,0
Kazakhstan,Asia,1973,0
Kenya,Africa,1973,0
Kyrgyz Republic,Asia,1973,0
Lao,Asia,1973,0
Libya,Africa,1973,0
Luxembourg,Europe,1973,0
"Macedonia, FYR",Europe,1973,0
Madagascar,Africa,1973,0
Malaysia,Asia,1973,0
Maldives,Asia,1973,0
Mali,Africa,1973,0
Mauritania,Africa,1973,0
Mauritius,Africa,1973,0
Mexico,Americas,1973,0
Mongolia,Asia,1973,0
Morocco,Africa,1973,106
Mozambique,Africa,1973,0
Myanmar,Asia,1973,0
Nepal,Asia,1973,0
Netherlands,Europe,1973,0
New Zealand,Asia,1973,0
Nicaragua,Americas,1973,0
Niger,Africa,1973,0
Nigeria,Africa,1973,176
North Korea,Asia,1973,0
Norway,Europe,1973,0
Pakistan,Asia,1973,0
Panama,Americas,1973,0
Papua New Guinea,Asia,1973,0
Paraguay,Americas,1973,0
Peru,Americas,1973,0
Philippines,Asia,1973,0
Poland,Europe,1973,0
Portugal,Europe,1973,0
Romania,Europe,1973,0
Russia,Europe,1973,0
Saudi Arabia,Asia,1973,0
Senegal,Africa,1973,0
Sierra Leone,Africa,1973,0
Somalia,Africa,1973,0
South Africa,Africa,1973,0
South Korea,Asia,1973,0
Spain,Europe,1973,0
Sri Lanka,Asia,1973,0
Sudan,Africa,1973,0
Suriname,Americas,1973,0
Sweden,Europe,1973,0
Switzerland,Europe,1973,0
Tajikistan,Asia,1973,0
Tanzania,Africa,1973,0
Thailand,Asia,1973,0
Tunisia,Africa,1973,0
Turkey,Europe,1973,0
Ukraine,Europe,1973,0
United Arab Emirates,Asia,1973,0
United Kingdom,Europe,1973,0
United States,Americas,1973,0
Uruguay,Americas,1973,0
Uzbekistan,Asia,1973,0
Venezuela,Americas,1973,0
Vietnam,Asia,1973,0
Yemen,Asia,1973,0
Zambia,Africa,1973,0
Afghanistan,Asia,1974,0
Algeria,Africa,1974,0
Angola,Africa,1974,0
Argentina,Americas,1974,0
Armenia,Europe,1974,0
Australia,Asia,1974,0
Austria,Europe,1974,0
Azerbaijan,Europe,1974,0
Bahrain,Asia,1974,0
Belgium,Europe,1974,0
Benin,Africa,1974,0
Bolivia,Americas,1974,0
Bosnia and Herzegovina,Europe,1974,0
Brazil,Americas,1974,0
Bulgaria,Europe,1974,0
Cambodia,Asia,1974,0
Cameroon,Africa,1974,0
Canada,Americas,1974,32
Cape Verde,Africa,1974,0
Central African Republic,Africa,1974,0
Chile,Americas,1974,0
China,Asia,1974,0
Colombia,Americas,1974,0
Comoros,Africa,1974,0
"Congo, Dem. Rep.",Africa,1974,0
"Congo, Rep.",Africa,1974,0
Costa Rica,Americas,1974,0
Cote d'Ivoire,Africa,1974,0
Croatia,Europe,1974,0
Cuba,Americas,1974,0
Denmark,Europe,1974,0
Dominica,Americas,1974,0
Dominican Republic,Americas,1974,0
Ecuador,Americas,1974,0
Egypt,Africa,1974,0
El Salvador,Americas,1974,0
Equatorial Guinea,Africa,1974,0
Ethiopia,Africa,1974,0
Fiji,Asia,1974,0
France,Europe,1974,346
Gabon,Africa,1974,0
Georgia,Europe,1974,0
Germany,Europe,1974,0
Greece,Europe,1974,0
Guatemala,Americas,1974,0
Haiti,Americas,1974,0
Honduras,Americas,1974,0
Hungary,Europe,1974,0
India,Asia,1974,0
Indonesia,Asia,1974,0
Iran,Asia,1974,0
Iraq,Asia,1974,0
Ireland,Europe,1974,0
Israel,Asia,1974,0
Italy,Europe,1974,0
Japan,Asia,1974,0
Jordan,Asia,1974,0
Kazakhstan,Asia,1974,0
Kenya,Africa,1974,59
Kyrgyz Republic,Asia,1974,0
Lao,Asia,1974,0
Libya,Africa,1974,0
Luxembourg,Europe,1974,0
"Macedonia, FYR",Europe,1974,0
Madagascar,Africa,1974,0
Malaysia,Asia,1974,0
Maldives,Asia,1974,0
Mali,Africa,1974,0
Mauritania,Africa,1974,0
Mauritius,Africa,1974,0
Mexico,Americas,1974,0
Mongolia,Asia,1974,0
Morocco,Africa,1974,0
Mozambique,Africa,1974,0
Myanmar,Asia,1974,0
Nepal,Asia,1974,0
Netherlands,Europe,1974,0
New Zealand,Asia,1974,0
Nicaragua,Americas,1974,0
Niger,Africa,1974,0
Nigeria,Africa,1974,0
North Korea,Asia,1974,0
Norway,Europe,1974,0
Pakistan,Asia,1974,0
Panama,Americas,1974,0
Papua New Guinea,Asia,1974,0
Paraguay,Americas,1974,0
Peru,Americas,1974,0
Philippines,Asia,1974,0
Poland,Europe,1974,0
